,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 188,0.03190350353561669,0.03271477943418499,0.03371999198962308,0.032277794392374395,0.029267005259170614
molecule 189,-0.2172832546035464,-0.2219823898211083,-0.2223544928226899,-0.2121713987552872,-0.20461424280359808
molecule 190,-0.059234915642435576,-0.0631000326546543,-0.07696030719225079,-0.08384268749770094,-0.07869952025142005
molecule 191,-11.718943070331013,-11.511765449885383,-11.62191666407434,-12.077944969326936,-12.446036587657694
molecule 192,-0.10518760409674872,-0.11694104030586508,-0.12401489876502901,-0.1226481976320682,-0.11541134789547737
molecule 193,-0.6955804659408066,-0.7401532687534341,-0.7727166007175544,-0.7740349655545714,-0.759883974388564
molecule 194,-0.8447230564387521,-0.8341863451772957,-0.8447844820307128,-0.8823651343547033,-0.93803104803781
molecule 195,-0.006252716261929601,-0.013735845917340653,-0.019508626412982295,-0.02376022218512701,-0.028558275572161642
molecule 196,1.6391794639303154,1.5750370052163623,1.568673505310436,1.6038740286046191,1.5751490254438256
molecule 197,-2.8718839867455035,-3.0592641523939803,-3.0175226881830377,-2.99645273294586,-3.176309815038882
molecule 198,-0.2790879942330091,-0.2985885727590602,-0.29753197283903116,-0.2807697199256452,-0.2677949601906452
molecule 199,-0.37338855013257183,-0.3977062726993105,-0.44391476681442815,-0.4844023550305743,-0.5054589372533693
molecule 200,-0.12910638595856377,-0.11609248819855982,-0.12061024096054326,-0.14254033550011092,-0.16270972471840076
molecule 201,-0.016833588426336348,-0.016336547753392074,-0.016133606952917434,-0.01601063735687322,-0.01620564920413008
molecule 202,-0.1810616360835696,-0.18578744095776192,-0.17241235570499852,-0.15237868806989205,-0.15106217214017553
molecule 203,-26.073194818967355,-27.526805476121496,-29.181460168841657,-29.976217900841462,-30.34225154822344
molecule 204,-0.04240702138864685,-0.041708134030574495,-0.04001498404688947,-0.038739537837679486,-0.038103229488660295
molecule 205,-0.4303487810117714,-0.42292885235415373,-0.4029216267944668,-0.3891041052426695,-0.3987474525675955
molecule 206,-0.08529724819610957,-0.08049397676489155,-0.07759414971466705,-0.07291995881566338,-0.06533593264560207
molecule 207,-0.6498638209174229,-0.6801628722926465,-0.6678408045270592,-0.7195684177470618,-0.8340081761740412
molecule 208,0.018733909544612952,0.02131229004165984,0.01721347374595713,0.00976217165805393,0.00025363453757722837
molecule 209,-0.0015282908644850515,0.00034408749395105527,0.002077368483374491,0.004983979149020862,0.00855682713560298
molecule 210,-1.2542827779203216,-1.2446514922557776,-1.2215822563345926,-1.2894860450104224,-1.3774113155736467
molecule 211,-0.243539429075538,-0.2621887685993701,-0.2689514536395113,-0.25129644105776827,-0.23149801166820555
molecule 212,-0.023343294853595025,-0.011904203155750748,-0.006258445997105627,-0.01832481938097746,-0.033333280436149366
molecule 213,0.18140938735772433,0.17779360402351346,0.17041927973286675,0.15447745392016446,0.13279230826814264
molecule 214,-0.006408890037052984,-0.0039030937628842786,-0.0034226637483467082,-0.00253676655215576,0.0014329150812982991
molecule 215,1.2205872839713994,1.2685882911852728,1.3106211734563842,1.2265351785419452,1.0783860052158087
molecule 216,10.640378799012225,10.551810274487876,10.735504303133041,10.74668837312768,10.534772314830857
